Type,NPI,First Name,Last Name,Presentation Name,Address First Line,Zip Code,City,State,County,FIPS State County Code,Location Confidence Address level,Location Confidence County Level,Provider Type,Specialty Name,Specialty Flag,Group TIN,Group Name,Org A HMO/HMO-POS,Org B HMO/HMO-POS,NPI Score,Cost Score,Quality Score,FFS Utilization Score,MA Utilization Score,NPI Score Confidence
Individual,1000000000,First0,Last0,Provider 1000000000,10 Main St,31111,Los Angeles,CA,Los Angeles,6037,High,Low,PCP,PCP,Secondary,700000,Group 0,Y,N,1.58,1.27,3.38,31.03,82.47,Green
Individual,1000000000,First0,Last0,Provider 1000000000,10 Main St,31111,Maricopa,AZ,Maricopa,4013,High,High,PCP,PCP,Primary,700000,Group 0,Y,N,3.87,2.51,4.95,11.85,95.12,Green
Individual,1000000001,First1,Last1,Provider 1000000001,11 Main St,31112,Los Angeles,CA,Los Angeles,6037,High,Medium,PCP,PCP,Primary,700001,Group 1,Y,N,NA,NA,NA,NA,NA,NA
Individual,1000000001,First1,Last1,Provider 1000000001,11 Main St,31112,Maricopa,AZ,Maricopa,4013,High,Low,PCP,PCP,Secondary,700001,Group 1,Y,N,2.49,2.67,1.2,10.17,52.38,Green
Individual,1000000002,First2,Last2,Provider 1000000002,12 Main St,31113,Maricopa,AZ,Maricopa,4013,High,Low,PCP,PCP,Primary,700002,Group 2,Y,N,3.63,1.47,1.35,77.43,41.86,Green
Individual,1000000002,First2,Last2,Provider 1000000002,12 Main St,31113,Los Angeles,CA,Los Angeles,6037,Low,Low,PCP,PCP,Secondary,700002,Group 2,Y,N,NA,NA,NA,NA,NA,NA
Individual,1000000003,First3,Last3,Provider 1000000003,13 Main St,31114,Los Angeles,CA,Los Angeles,6037,High,High,PCP,PCP,Secondary,700003,Group 3,Y,Y,2.73,4.15,3.2,36.07,62.6,Red
Individual,1000000003,First3,Last3,Provider 1000000003,13 Main St,31114,Maricopa,AZ,Maricopa,4013,Medium,Medium,PCP,PCP,Secondary,700003,Group 3,Y,Y,2.27,3.72,2.57,87.5,50.45,Red
Individual,1000000003,First3,Last3,Provider 1000000003,13 Main St,31114,Maricopa,AZ,Maricopa,4013,High,High,PCP,PCP,Secondary,700003,Group 3,Y,Y,2.27,3.72,2.57,87.5,50.45,Red
Individual,1000000003,First3,Last3,Provider 1000000003,13 Main St,31114,Los Angeles,CA,Los Angeles,6037,Low,Low,PCP,PCP,Secondary,700003,Group 3,Y,Y,2.73,4.15,3.2,36.07,62.6,Red
Individual,1000000004,First4,Last4,Provider 1000000004,14 Main St,31115,Los Angeles,CA,Los Angeles,6037,Low,High,PCP,PCP,Primary,700004,Group 4,Y,Y,4.12,4.92,4.21,77.9,64.25,Red
Individual,1000000004,First4,Last4,Provider 1000000004,14 Main St,31115,Los Angeles,CA,Los Angeles,6037,Low,Medium,PCP,PCP,Secondary,700004,Group 4,Y,Y,4.12,4.92,4.21,77.9,64.25,Red
Individual,1000000004,First4,Last4,Provider 1000000004,14 Main St,31115,Maricopa,AZ,Maricopa,4013,Medium,Medium,PCP,PCP,Primary,700004,Group 4,Y,Y,2.67,2.27,1.14,22.56,47.41,Green
Individual,1000000004,First4,Last4,Provider 1000000004,14 Main St,31115,Maricopa,AZ,Maricopa,4013,Low,High,PCP,PCP,Secondary,700004,Group 4,Y,Y,2.67,2.27,1.14,22.56,47.41,Green
Individual,1000000005,First5,Last5,Provider 1000000005,15 Main St,31116,Los Angeles,CA,Los Angeles,6037,Low,High,PCP,PCP,Primary,700005,Group 5,Y,Y,2.18,2.82,4.3,44.23,45.85,Green
Individual,1000000005,First5,Last5,Provider 1000000005,15 Main St,31116,Los Angeles,CA,Los Angeles,6037,Medium,Medium,PCP,PCP,Primary,700005,Group 5,Y,Y,2.18,2.82,4.3,44.23,45.85,Green
Individual,1000000005,First5,Last5,Provider 1000000005,15 Main St,31116,Maricopa,AZ,Maricopa,4013,Low,Medium,PCP,PCP,Secondary,700005,Group 5,Y,Y,NA,NA,NA,NA,NA,NA
Individual,1000000005,First5,Last5,Provider 1000000005,15 Main St,31116,Maricopa,AZ,Maricopa,4013,Medium,High,PCP,PCP,Primary,700005,Group 5,Y,Y,NA,NA,NA,NA,NA,NA
Individual,1000000006,First6,Last6,Provider 1000000006,16 Main St,31117,Maricopa,AZ,Maricopa,4013,High,Medium,PCP,PCP,Primary,700006,Group 6,Y,Y,4.07,4.38,2.93,50.48,85.2,Yellow
Individual,1000000006,First6,Last6,Provider 1000000006,16 Main St,31117,Maricopa,AZ,Maricopa,4013,High,High,PCP,PCP,Primary,700006,Group 6,Y,Y,4.07,4.38,2.93,50.48,85.2,Yellow
